LABEL,CONNECTIONS,TYPE,HEMI,CLASSIFICATION_NAME,PAIR,SIZE
239,"L_Frontal - L_Temporal
L_Parietal - Brainstem",A-P,L,A-P-FrontalTemporal-ParietalBrainstem-L,234,6
240,"L_Occipital - Brainstem
L_Temporal - Brainstem",P-P,L,P-P-OccipitalBrainstem-TemporalBrainstem-L,0,62
241,"R_Frontal - R_Cingulate
R_Temporal - R_Cingulate",A-A,R,A-A-FrontalCingulate-TemporalCingulate-R,235,14
242,"L_Cerebellum - R_Cerebellum
R_Parietal - Brainstem",Cb-P,RC,Cb-P-CerebellumCerebellum-ParietalBrainstem-RC,255,10
243,"R_Frontal - R_Parietal
R_Frontal - R_Temporal
R_Parietal - R_Temporal
R_Parietal - Brainstem",A-A-A-P,R,A-A-A-P-FrontalParietal-FrontalTemporal-ParietalTemporal-ParietalBrainstem-R,211,15
244,"L_Frontal - L_Cerebellum
L_Frontal - Brainstem
L_Subcortical - Brainstem",P-P,L,P-P-FrontalCerebellum-FrontalBrainstem-SubcorticalBrainstem-L,227,12
245,"L_Frontal - L_Occipital
L_Parietal - L_Occipital",A-A,L,A-A-FrontalOccipital-ParietalOccipital-L,0,16
246,"L_Parietal - R_Frontal
L_Parietal - R_Parietal
R_Frontal - R_Parietal",C-C-A,RC,C-C-A-ParietalFrontal-ParietalParietal-FrontalParietal-RC,0,65
247,"R_Frontal - R_Parietal
R_Frontal - R_Temporal
R_Parietal - Brainstem",A-A-P,R,A-A-P-FrontalParietal-FrontalTemporal-ParietalBrainstem-R,253,15
248,"R_Frontal - R_Subcortical
R_Parietal - R_Subcortical",P-P,R,P-P-FrontalSubcortical-ParietalSubcortical-R,225,21
249,"L_Parietal - L_Cerebellum
L_Frontal - Brainstem
L_Parietal - Brainstem",P-P,L,P-P-ParietalCerebellum-FrontalBrainstem-ParietalBrainstem-L,219,8
250,"L_Cerebellum - R_Cerebellum
L_Parietal - Brainstem
L_Cerebellum - Brainstem",Cb-P-Cb,LC,Cb-P-Cb-CerebellumCerebellum-ParietalBrainstem-CerebellumBrainstem-LC,260,17
251,"L_Frontal - L_Parietal
L_Parietal - L_Subcortical
L_Parietal - Brainstem",A-P-P,L,A-P-P-FrontalParietal-ParietalSubcortical-ParietalBrainstem-L,236,24
252,"L_Parietal - R_Occipital
L_Occipital - R_Occipital
R_Occipital - R_Temporal",C-C-A,RC,C-C-A-ParietalOccipital-OccipitalOccipital-OccipitalTemporal-RC,0,26
253,"L_Frontal - L_Parietal
L_Frontal - L_Temporal
L_Parietal - Brainstem",A-A-P,L,A-A-P-FrontalParietal-FrontalTemporal-ParietalBrainstem-L,247,4
254,"R_Frontal - R_Parietal
R_Parietal - R_Subcortical",A-P,R,A-P-FrontalParietal-ParietalSubcortical-R,265,22
255,"L_Cerebellum - R_Cerebellum
L_Parietal - Brainstem",Cb-P,LC,Cb-P-CerebellumCerebellum-ParietalBrainstem-LC,242,1
256,"L_Parietal - Brainstem
L_Temporal - Brainstem",P-P,L,P-P-ParietalBrainstem-TemporalBrainstem-L,203,13
257,"L_Frontal - L_Occipital
L_Frontal - L_Temporal
L_Parietal - L_Temporal
L_Occipital - L_Temporal",A-A-A-A,L,A-A-A-A-FrontalOccipital-FrontalTemporal-ParietalTemporal-OccipitalTemporal-L,0,3
258,"L_Frontal - R_Frontal
R_Frontal - R_Parietal
R_Frontal - R_Temporal
R_Frontal - Brainstem",C-A-A-P,RC,C-A-A-P-FrontalFrontal-FrontalParietal-FrontalTemporal-FrontalBrainstem-RC,0,10
259,"L_Frontal - L_Parietal
L_Frontal - R_Parietal
L_Parietal - R_Parietal",A-C-C,LC,A-C-C-FrontalParietal-FrontalParietal-ParietalParietal-LC,0,45
260,"L_Cerebellum - R_Cerebellum
R_Parietal - Brainstem
R_Cerebellum - Brainstem",Cb-P-Cb,RC,Cb-P-Cb-CerebellumCerebellum-ParietalBrainstem-CerebellumBrainstem-RC,250,51
261,"L_Occipital - L_Cingulate",A,L,A-OccipitalCingulate-L,0,48
262,"L_Frontal - L_Parietal
L_Parietal - L_Temporal
L_Parietal - L_Subcortical",A-A-P,L,A-A-P-FrontalParietal-ParietalTemporal-ParietalSubcortical-L,220,130
263,"L_Occipital - R_Temporal
L_Temporal - R_Temporal",C-C,C,C-C-OccipitalTemporal-TemporalTemporal-C,0,477
264,"L_Cerebellum - R_Cerebellum
R_Frontal - Brainstem
R_Cerebellum - Brainstem",Cb-P-Cb,RC,Cb-P-Cb-CerebellumCerebellum-FrontalBrainstem-CerebellumBrainstem-RC,0,23
265,"L_Frontal - L_Parietal
L_Parietal - L_Subcortical",A-P,L,A-P-FrontalParietal-ParietalSubcortical-L,254,68
266,"L_Frontal - L_Temporal
L_Temporal - L_Cingulate
L_Temporal - L_Subcortical",A-A-P,L,A-A-P-FrontalTemporal-TemporalCingulate-TemporalSubcortical-L,0,45
